,Year,Month,Sales(In ThousandDollars),Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports,ProductCategory_OtherClothing,ProductCategory_WomenClothing
0,2009,1,1755.0,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,0,1
1,2009,1,524.0,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,0,0
2,2009,1,936.0,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,1,0
3,2009,2,1729.0,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,0,1
4,2009,2,496.0,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,0,0
5,2009,2,859.0,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,1,0
6,2009,3,2256.0,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,0,1
7,2009,3,542.0,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,0,0
8,2009,3,921.0,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,1,0
9,2009,4,2662.0,14326.8155253522,14351.6017305356,235.582,9.0,12.97,11.05,22.13,56.78,10.25,9.296,7.559,787.0,12.4,3.62,12.225,0,1
10,2009,4,669.0,14326.8155253522,14351.6017305356,235.582,9.0,12.97,11.05,22.13,56.78,10.25,9.296,7.559,787.0,12.4,3.62,12.225,0,0
11,2009,4,914.0,14326.8155253522,14351.6017305356,235.582,9.0,12.97,11.05,22.13,56.78,10.25,9.296,7.559,787.0,12.4,3.62,12.225,1,0
12,2009,5,2732.0,14345.9048088631,14368.1239591978,235.975,9.4,13.32,11.25,22.04,61.95,9.11,9.297,7.4,803.0,12.384,3.52,12.3,0,1
13,2009,5,650.0,14345.9048088631,14368.1239591978,235.975,9.4,13.32,11.25,22.04,61.95,9.11,9.297,7.4,803.0,12.384,3.52,12.3,0,0
14,2009,5,989.0,14345.9048088631,14368.1239591978,235.975,9.4,13.32,11.25,22.04,61.95,9.11,9.297,7.4,803.0,12.384,3.52,12.3,1,0
15,2009,6,2220.0,14348.5306658082,14346.8201055735,237.172,9.5,13.32,11.25,21.96,61.39,-0.9,8.668,7.76,796.0,12.876,3.47,10.3,0,1
16,2009,6,607.0,14348.5306658082,14346.8201055735,237.172,9.5,13.32,11.25,21.96,61.39,-0.9,8.668,7.76,796.0,12.876,3.47,10.3,0,0
17,2009,6,932.0,14348.5306658082,14346.8201055735,237.172,9.5,13.32,11.25,21.96,61.39,-0.9,8.668,7.76,796.0,12.876,3.47,10.3,1,0
18,2009,7,2164.0,14317.3729221509,14345.6760973542,237.6,9.5,13.32,11.25,22.0,64.8,5.55,8.905,7.753,796.0,12.863,3.47,9.7,0,1
19,2009,7,575.0,14317.3729221509,14345.6760973542,237.6,9.5,13.32,11.25,22.0,64.8,5.55,8.905,7.753,796.0,12.863,3.47,9.7,0,0
20,2009,7,901.0,14317.3729221509,14345.6760973542,237.6,9.5,13.32,11.25,22.0,64.8,5.55,8.905,7.753,796.0,12.863,3.47,9.7,1,0
21,2009,8,2371.0,14424.2849012372,14435.812508554,238.282,9.6,13.71,10.89,22.16,64.26,-0.83,8.905,7.619,809.0,12.84,3.47,9.7,0,1
22,2009,8,551.0,14424.2849012372,14435.812508554,238.282,9.6,13.71,10.89,22.16,64.26,-0.83,8.905,7.619,809.0,12.84,3.47,9.7,0,0
23,2009,8,865.0,14424.2849012372,14435.812508554,238.282,9.6,13.71,10.89,22.16,64.26,-0.83,8.905,7.619,809.0,12.84,3.47,9.7,1,0
24,2009,9,2421.0,14410.7771765398,14425.9727515716,238.568,9.8,13.71,10.89,22.2,64.07,-0.3,8.989,7.582,827.0,13.071,3.47,10.0,0,1
25,2009,9,579.0,14410.7771765398,14425.9727515716,238.568,9.8,13.71,10.89,22.2,64.07,-0.3,8.989,7.582,827.0,13.071,3.47,10.0,0,0
26,2009,9,819.0,14410.7771765398,14425.9727515716,238.568,9.8,13.71,10.89,22.2,64.07,-0.3,8.989,7.582,827.0,13.071,3.47,10.0,1,0
27,2009,10,2579.0,14596.6054472681,14595.3930938759,238.38,10.0,13.71,10.89,22.27,66.82,4.29,8.989,7.586,799.0,12.631,3.37,10.0,0,1
28,2009,10,610.0,14596.6054472681,14595.3930938759,238.38,10.0,13.71,10.89,22.27,66.82,4.29,8.989,7.586,799.0,12.631,3.37,10.0,0,0
29,2009,10,914.0,14596.6054472681,14595.3930938759,238.38,10.0,13.71,10.89,22.27,66.82,4.29,8.989,7.586,799.0,12.631,3.37,10.0,1,0
30,2009,11,2521.0,14590.4322515432,14559.4101732519,238.777,9.9,13.6,11.2,22.44,71.78,7.42,8.989,7.586,767.0,12.129,3.37,9.95,0,1
31,2009,11,620.0,14590.4322515432,14559.4101732519,238.777,9.9,13.6,11.2,22.44,71.78,7.42,8.989,7.586,767.0,12.129,3.37,9.95,0,0
32,2009,11,955.0,14590.4322515432,14559.4101732519,238.777,9.9,13.6,11.2,22.44,71.78,7.42,8.989,7.586,767.0,12.129,3.37,9.95,1,0
33,2009,12,3390.0,14512.4953011728,14471.040843924,238.427,9.9,13.6,11.2,22.38,76.78,6.97,8.989,7.586,774.0,12.225,3.37,10.425,0,1
34,2009,12,930.0,14512.4953011728,14471.040843924,238.427,9.9,13.6,11.2,22.38,76.78,6.97,8.989,7.586,774.0,12.225,3.37,10.425,0,0
35,2009,12,1351.0,14512.4953011728,14471.040843924,238.427,9.9,13.6,11.2,22.38,76.78,6.97,8.989,7.586,774.0,12.225,3.37,10.425,1,0
36,2010,1,2142.0,14613.9914806524,14551.0248379337,238.97,9.8,13.6,11.2,22.51,77.4,0.81,9.008,7.552,763.0,12.011,3.37,10.4,0,1
37,2010,1,476.0,14613.9914806524,14551.0248379337,238.97,9.8,13.6,11.2,22.51,77.4,0.81,9.008,7.552,763.0,12.011,3.37,10.4,0,0
38,2010,1,945.0,14613.9914806524,14551.0248379337,238.97,9.8,13.6,11.2,22.51,77.4,0.81,9.008,7.552,763.0,12.011,3.37,10.4,1,0
39,2010,2,2413.0,14652.8802715638,14581.3756942286,238.862,9.8,14.26,10.83,22.57,80.04,3.41,9.008,7.552,763.0,12.011,3.37,11.4,0,1
40,2010,2,471.0,14652.8802715638,14581.3756942286,238.862,9.8,14.26,10.83,22.57,80.04,3.41,9.008,7.552,763.0,12.011,3.37,11.4,0,0
41,2010,2,869.0,14652.8802715638,14581.3756942286,238.862,9.8,14.26,10.83,22.57,80.04,3.41,9.008,7.552,763.0,12.011,3.37,11.4,1,0
42,2010,3,3102.0,14776.3172477831,14682.0107425024,240.101,9.9,14.26,10.83,22.48,85.79,7.18,9.008,7.552,763.0,12.011,3.47,11.375,0,1
43,2010,3,568.0,14776.3172477831,14682.0107425024,240.101,9.9,14.26,10.83,22.48,85.79,7.18,9.008,7.552,763.0,12.011,3.47,11.375,0,0
44,2010,3,941.0,14776.3172477831,14682.0107425024,240.101,9.9,14.26,10.83,22.48,85.79,7.18,9.008,7.552,763.0,12.011,3.47,11.375,1,0
45,2010,4,1080.5,14844.5311931878,14724.2001528266,240.529,9.9,14.26,10.83,22.53,88.09,2.68,9.008,7.552,747.0,11.751,3.47,11.365,0,1
46,2010,4,630.0,14844.5311931878,14724.2001528266,240.529,9.9,14.26,10.83,22.53,88.09,2.68,9.008,7.552,747.0,11.751,3.47,11.365,0,0
47,2010,4,1080.5,14844.5311931878,14724.2001528266,240.529,9.9,14.26,10.83,22.53,88.09,2.68,9.008,7.552,747.0,11.751,3.47,11.365,1,0
48,2010,5,3221.0,14875.6984356304,14741.3673469787,241.075,9.6,13.84,11.0,22.6,90.07,2.25,9.008,7.391,766.0,11.788,3.375,11.34,0,1
49,2010,5,627.0,14875.6984356304,14741.3673469787,241.075,9.6,13.84,11.0,22.6,90.07,2.25,9.008,7.391,766.0,11.788,3.375,11.34,0,0
50,2010,5,991.0,14875.6984356304,14741.3673469787,241.075,9.6,13.84,11.0,22.6,90.07,2.25,9.008,7.391,766.0,11.788,3.375,11.34,1,0
51,2010,6,2756.0,14945.570371108,14772.3180512573,240.817,9.4,13.84,11.0,22.34,91.68,1.79,10.315,9.642,806.0,16.2,3.275,13.05,0,1
52,2010,6,598.0,14945.570371108,14772.3180512573,240.817,9.4,13.84,11.0,22.34,91.68,1.79,10.315,9.642,806.0,16.2,3.275,13.05,0,0
53,2010,6,984.0,14945.570371108,14772.3180512573,240.817,9.4,13.84,11.0,22.34,91.68,1.79,10.315,9.642,806.0,16.2,3.275,13.05,1,0
54,2010,7,2749.0,15019.2352626891,14833.7492771408,241.147,9.4,13.84,11.0,22.41,84.15,-8.21,10.7,10.193,836.0,17.75,3.37,13.8,0,1
55,2010,7,544.0,15019.2352626891,14833.7492771408,241.147,9.4,13.84,11.0,22.41,84.15,-8.21,10.7,10.193,836.0,17.75,3.37,13.8,0,0
56,2010,7,937.0,15019.2352626891,14833.7492771408,241.147,9.4,13.84,11.0,22.41,84.15,-8.21,10.7,10.193,836.0,17.75,3.37,13.8,1,0
57,2010,8,2807.0,15036.2776269679,14824.1657696352,241.569,9.5,13.59,10.71,22.55,90.35,7.37,10.7,10.424,831.0,18.036,3.37,14.525,0,1
58,2010,8,1080.5,15036.2776269679,14824.1657696352,241.569,9.5,13.59,10.71,22.55,90.35,7.37,10.7,10.424,831.0,18.036,3.37,14.525,0,0
59,2010,8,897.0,15036.2776269679,14824.1657696352,241.569,9.5,13.59,10.71,22.55,90.35,7.37,10.7,10.424,831.0,18.036,3.37,14.525,1,0
60,2010,9,2919.0,15117.4671103891,14878.5469831135,241.485,9.5,13.59,10.71,22.6,104.73,15.92,10.829,10.566,833.0,18.343,3.57,15.025,0,1
61,2010,9,563.0,15117.4671103891,14878.5469831135,241.485,9.5,13.59,10.71,22.6,104.73,15.92,10.829,10.566,833.0,18.343,3.57,15.025,0,0
62,2010,9,839.0,15117.4671103891,14878.5469831135,241.485,9.5,13.59,10.71,22.6,104.73,15.92,10.829,10.566,833.0,18.343,3.57,15.025,1,0
63,2010,10,3071.0,15219.059036066,14945.4270878445,241.981,9.4,13.59,10.71,22.7,126.55,20.83,10.829,10.566,835.0,18.375,3.57,15.025,0,1
64,2010,10,634.0,15219.059036066,14945.4270878445,241.981,9.4,13.59,10.71,22.7,126.55,20.83,10.829,10.566,835.0,18.375,3.57,15.025,0,0
65,2010,10,930.0,15219.059036066,14945.4270878445,241.981,9.4,13.59,10.71,22.7,126.55,20.83,10.829,10.566,835.0,18.375,3.57,15.025,1,0
66,2010,11,3276.0,15185.62894712,14896.6748133866,241.96,9.8,13.44,10.94,22.69,155.47,22.85,10.829,10.566,814.0,17.92,3.42,15.275,0,1
67,2010,11,669.0,15185.62894712,14896.6748133866,241.96,9.8,13.44,10.94,22.69,155.47,22.85,10.829,10.566,814.0,17.92,3.42,15.275,0,0
68,2010,11,1035.0,15185.62894712,14896.6748133866,241.96,9.8,13.44,10.94,22.69,155.47,22.85,10.829,10.566,814.0,17.92,3.42,15.275,1,0
69,2010,12,4360.0,15285.9360167865,14975.0402068452,241.874,9.3,13.44,10.94,22.76,168.22,8.2,10.829,10.566,807.0,17.77,3.52,15.275,0,1
70,2010,12,988.0,15285.9360167865,14975.0402068452,241.874,9.3,13.44,10.94,22.76,168.22,8.2,10.829,10.566,807.0,17.77,3.52,15.275,0,0
71,2010,12,1398.0,15285.9360167865,14975.0402068452,241.874,9.3,13.44,10.94,22.76,168.22,8.2,10.829,10.566,807.0,17.77,3.52,15.275,1,0
72,2011,1,2193.0,15149.1361633756,14838.1555802799,242.639,9.1,13.44,10.94,23.16,178.93,6.37,10.769,10.505,814.0,17.817,3.565,15.28,0,1
73,2011,1,487.0,15149.1361633756,14838.1555802799,242.639,9.1,13.44,10.94,23.16,178.93,6.37,10.769,10.505,814.0,17.817,3.565,15.28,0,0
74,2011,1,968.0,15149.1361633756,14838.1555802799,242.639,9.1,13.44,10.94,23.16,178.93,6.37,10.769,10.505,814.0,17.817,3.565,15.28,1,0
75,2011,2,2620.0,15161.5783305761,14801.7341813383,243.832,9.0,13.44,10.98,22.99,213.18,19.14,10.769,10.505,814.0,17.817,3.565,15.28,0,1
76,2011,2,497.0,15161.5783305761,14801.7341813383,243.832,9.0,13.44,10.98,22.99,213.18,19.14,10.769,10.505,814.0,17.817,3.565,15.28,0,0
77,2011,2,878.0,15161.5783305761,14801.7341813383,243.832,9.0,13.44,10.98,22.99,213.18,19.14,10.769,10.505,814.0,17.817,3.565,15.28,1,0
78,2011,3,3266.0,15404.3985060739,15004.1154699802,245.617,9.0,13.44,10.98,22.9,229.67,7.74,10.769,10.505,814.0,17.817,3.565,15.28,0,1
79,2011,3,599.0,15404.3985060739,15004.1154699802,245.617,9.0,13.44,10.98,22.9,229.67,7.74,10.769,10.505,814.0,17.817,3.565,15.28,0,0
80,2011,3,1064.0,15404.3985060739,15004.1154699802,245.617,9.0,13.44,10.98,22.9,229.67,7.74,10.769,10.505,814.0,17.817,3.565,15.28,1,0
81,2011,4,3414.0,15488.0048636643,15050.6611720031,246.489,9.1,13.44,10.98,22.96,216.62,-5.68,10.769,10.505,804.0,17.597,3.665,15.28,0,1
82,2011,4,690.0,15488.0048636643,15050.6611720031,246.489,9.1,13.44,10.98,22.96,216.62,-5.68,10.769,10.505,804.0,17.597,3.665,15.28,0,0
83,2011,4,985.0,15488.0048636643,15050.6611720031,246.489,9.1,13.44,10.98,22.96,216.62,-5.68,10.769,10.505,804.0,17.597,3.665,15.28,1,0
84,2011,5,3340.0,15472.3912891333,14990.9638155792,248.073,9.0,12.89,11.37,23.06,165.52,-23.59,10.769,10.497,805.0,17.6,3.76,15.02,0,1
85,2011,5,677.0,15472.3912891333,14990.9638155792,248.073,9.0,12.89,11.37,23.06,165.52,-23.59,10.769,10.497,805.0,17.6,3.76,15.02,0,0
86,2011,5,1027.0,15472.3912891333,14990.9638155792,248.073,9.0,12.89,11.37,23.06,165.52,-23.59,10.769,10.497,805.0,17.6,3.76,15.02,1,0
87,2011,6,3232.0,15422.3818472482,14927.332731337,248.505,9.1,12.89,11.37,22.81,160.65,-2.94,12.313,9.95,787.0,16.323,3.77,12.4,0,1
88,2011,6,1080.5,15422.3818472482,14927.332731337,248.505,9.1,12.89,11.37,22.81,160.65,-2.94,12.313,9.95,787.0,16.323,3.77,12.4,0,0
89,2011,6,1080.5,15422.3818472482,14927.332731337,248.505,9.1,12.89,11.37,22.81,160.65,-2.94,12.313,9.95,787.0,16.323,3.77,12.4,1,0
90,2011,7,2896.0,15547.8544517524,15011.7614106743,249.164,9.0,12.89,11.37,22.94,149.25,-7.1,13.436,9.314,785.0,15.225,3.77,11.325,0,1
91,2011,7,587.0,15547.8544517524,15011.7614106743,249.164,9.0,12.89,11.37,22.94,149.25,-7.1,13.436,9.314,785.0,15.225,3.77,11.325,0,0
92,2011,7,985.0,15547.8544517524,15011.7614106743,249.164,9.0,12.89,11.37,22.94,149.25,-7.1,13.436,9.314,785.0,15.225,3.77,11.325,1,0
93,2011,8,3245.0,15649.0381355786,15085.2292553138,250.058,9.0,12.28,10.8,22.85,114.1,-23.55,13.436,9.379,809.0,15.817,3.77,11.65,0,1
94,2011,8,549.0,15649.0381355786,15085.2292553138,250.058,9.0,12.28,10.8,22.85,114.1,-23.55,13.436,9.379,809.0,15.817,3.77,11.65,0,0
95,2011,8,1001.0,15649.0381355786,15085.2292553138,250.058,9.0,12.28,10.8,22.85,114.1,-23.55,13.436,9.379,809.0,15.817,3.77,11.65,1,0
96,2011,9,3182.0,15564.482412702,14966.8228660961,250.559,9.0,12.28,10.8,23.05,116.65,2.23,14.431,9.562,794.0,15.819,3.775,11.325,0,1
97,2011,9,643.0,15564.482412702,14966.8228660961,250.559,9.0,12.28,10.8,23.05,116.65,2.23,14.431,9.562,794.0,15.819,3.775,11.325,0,0
98,2011,9,930.0,15564.482412702,14966.8228660961,250.559,9.0,12.28,10.8,23.05,116.65,2.23,14.431,9.562,794.0,15.819,3.775,11.325,1,0
99,2011,10,1080.5,15840.3854064224,15249.7634842258,250.051,8.8,12.28,10.8,23.3,110.61,-5.18,14.431,9.562,797.0,15.871,3.775,10.825,0,1
100,2011,10,682.0,15840.3854064224,15249.7634842258,250.051,8.8,12.28,10.8,23.3,110.61,-5.18,14.431,9.562,797.0,15.871,3.775,10.825,0,0
101,2011,10,1020.0,15840.3854064224,15249.7634842258,250.051,8.8,12.28,10.8,23.3,110.61,-5.18,14.431,9.562,797.0,15.871,3.775,10.825,1,0
102,2011,11,3499.0,15775.0060676968,15172.6925598969,249.317,8.6,12.36,10.36,23.15,104.68,-5.36,14.431,9.562,781.0,15.563,3.775,10.625,0,1
103,2011,11,707.0,15775.0060676968,15172.6925598969,249.317,8.6,12.36,10.36,23.15,104.68,-5.36,14.431,9.562,781.0,15.563,3.775,10.625,0,0
104,2011,11,1147.0,15775.0060676968,15172.6925598969,249.317,8.6,12.36,10.36,23.15,104.68,-5.36,14.431,9.562,781.0,15.563,3.775,10.625,1,0
105,2011,12,4775.0,15740.5445259163,15148.8221953324,248.307,8.5,12.36,10.36,23.22,95.45,-8.82,14.431,9.562,757.0,15.09,3.575,10.65,0,1
